C,T,S,F1,Recall,Precision,MCC
C1,2min,A,0.886354273,0.919236417,0.871495052,0.919236417
C2,2min,A,0.883949302,0.911894273,0.886433301,0.911894273
C3,2min,A,0.971346084,0.970631424,0.973363927,0.970631424
C4,2min,A,0.781008743,0.726872247,0.858228632,0.726872247
C5,2min,A,0.901466297,0.922173275,0.913166281,0.922173275
C6,2min,A,0.984601393,0.985315712,0.985549167,0.985315712
C7,2min,A,0.875757568,0.908957416,0.876828863,0.908957416
C8,2min,A,0.987578317,0.98825257,0.988402457,0.98825257
C9,2min,A,0.977391434,0.977973568,0.977442224,0.977973568
C1,5min,A,0.824858501,0.876651982,0.795108433,0.876651982
C2,5min,A,0.853983364,0.876651982,0.851609797,0.876651982
C3,5min,A,0.965377449,0.964757709,0.966350183,0.964757709
C4,5min,A,0.692274211,0.629955947,0.793697139,0.629955947
C5,5min,A,0.85512447,0.883994126,0.870701927,0.883994126
C6,5min,A,0.975719677,0.97650514,0.976390495,0.97650514
C7,5min,A,0.821386729,0.872246696,0.836000361,0.872246696
C8,5min,A,0.975826348,0.97650514,0.975930706,0.97650514
C9,5min,A,0.944848442,0.947136564,0.944727932,0.947136564
C1,10min,A,0.640779098,0.741556535,0.578127906,0.741556535
C2,10min,A,0.748366069,0.781204112,0.761344839,0.781204112
C3,10min,A,0.958816514,0.958883994,0.958871197,0.958883994
C4,10min,A,0.647207573,0.640234949,0.665332877,0.640234949
C5,10min,A,0.722115967,0.775330396,0.768221031,0.775330396
C6,10min,A,0.954485035,0.955947137,0.958435999,0.955947137
C7,10min,A,0.663908822,0.748898678,0.714403951,0.748898678
C8,10min,A,0.96680771,0.967694567,0.969053495,0.967694567
C9,10min,A,0.907620917,0.908957416,0.90723874,0.908957416
C1,15min,A,0.528361678,0.643171806,0.539811248,0.643171806
C2,15min,A,0.710954813,0.723935389,0.708671984,0.723935389
C3,15min,A,0.935164497,0.935389134,0.935181781,0.935389134
C4,15min,A,0.539703857,0.571218796,0.561726618,0.571218796
C5,15min,A,0.644459575,0.697503671,0.694833961,0.697503671
C6,15min,A,0.936681351,0.938325991,0.942408385,0.938325991
C7,15min,A,0.588409932,0.643171806,0.605482641,0.643171806
C8,15min,A,0.952276183,0.953010279,0.95442789,0.953010279
C9,15min,A,0.87926418,0.87958884,0.8790482,0.87958884
C1,30min,A,0.5091076,0.565345081,0.534797732,0.565345081
C2,30min,A,0.694295987,0.6989721,0.691987188,0.6989721
C3,30min,A,0.918151827,0.917767988,0.92112779,0.917767988
C4,30min,A,0.360817937,0.403817915,0.488765107,0.403817915
C5,30min,A,0.635591351,0.646108664,0.64570208,0.646108664
C6,30min,A,0.964787651,0.964757709,0.965063169,0.964757709
C7,30min,A,0.591371514,0.615271659,0.611850766,0.615271659
C8,30min,A,0.959021284,0.958883994,0.959789917,0.958883994
C9,30min,A,0.868178234,0.86784141,0.869318604,0.86784141
C1,2min,B,0.880446846,0.911894273,0.864564409,0.911894273
C2,2min,B,0.873162533,0.9030837,0.857488345,0.9030837
C3,2min,B,0.979802696,0.979441997,0.980646497,0.979441997
C4,2min,B,0.744638483,0.674008811,0.847424993,0.674008811
C5,2min,B,0.919620824,0.932452276,0.925849391,0.932452276
C6,2min,B,0.984601393,0.985315712,0.985549167,0.985315712
C7,2min,B,0.890235234,0.919236417,0.896852497,0.919236417
C8,2min,B,0.987578317,0.98825257,0.988402457,0.98825257
C9,2min,B,0.976039512,0.97650514,0.975887455,0.97650514
C1,5min,B,0.821438636,0.870778267,0.789874964,0.870778267
C2,5min,B,0.852806923,0.875183554,0.84851962,0.875183554
C3,5min,B,0.973432505,0.973568282,0.973342561,0.973568282
C4,5min,B,0.646509685,0.568281938,0.789602182,0.568281938
C5,5min,B,0.883628537,0.900146843,0.888408433,0.900146843
C6,5min,B,0.975719677,0.97650514,0.976390495,0.97650514
C7,5min,B,0.819630912,0.869309838,0.789219416,0.869309838
C8,5min,B,0.978703796,0.979441997,0.979953228,0.979441997
C9,5min,B,0.970484581,0.970631424,0.970481862,0.970631424
C1,10min,B,0.659353438,0.750367107,0.773834092,0.750367107
C2,10min,B,0.779705875,0.801762115,0.785714239,0.801762115
C3,10min,B,0.940985311,0.941262849,0.941243688,0.941262849
